id,name,nametype,recclass,mass,year,reclat,reclong,coordinates
7754,Duwun,Valid,L6,2117.0,1943-01-01,33.43333,127.26667,"[127, 33]"
7755,Dwaleni,Valid,H4-6,3230.0,1970-01-01,-27.2,31.31667,"[31, -27]"
7757,Dyalpur,Valid,Ureilite,300.0,1872-01-01,26.25,82.0,"[82, 26]"
7758,Dyarrl Island,Valid,Mesosiderite-A1,188.0,1933-01-01,-3.0,151.0,"[151, -3]"
7760,Eagle,Valid,EL6,10000.0,1947-01-01,40.78167,-96.47167,"[-96, 40]"
7774,Ehole,Valid,H5,2400.0,1961-01-01,-17.3,15.83333,"[15, -17]"
7775,Eichstädt,Valid,H5,3000.0,1785-01-01,48.9,11.21667,"[11, 48]"
7776,Ekeby,Valid,H4,3336.0,1939-01-01,56.03333,13.0,"[13, 56]"
7777,Ekh Khera,Valid,H6,840.0,1916-01-01,28.26667,78.78333,"[78, 28]"
7807,El Idrissia,Valid,L6,10000.0,1989-01-01,34.41667,3.25,"[3, 34]"
45977,El Paso de Aguila,Valid,H5,17226.0,1977-01-01,25.37,-97.37,"[-97, 25]"
7819,El Tigre,Valid,L6,5000.0,1993-01-01,19.96722,-103.05167,"[-103, 19]"
7822,Elbert,Valid,LL6,680.5,1998-01-01,39.24667,-104.58817,"[-104, 39]"
7824,Elenovka,Valid,L5,54640.0,1951-01-01,47.83333,37.66667,"[37, 47]"
10019,Ellemeet,Valid,Diogenite,1470.0,1925-01-01,51.75,4.0,"[4, 51]"
10033,Emmaville,Valid,Eucrite-mmict,127.0,1900-01-01,-29.46667,151.61667,"[151, -29]"
10038,Enshi,Valid,H5,8000.0,1974-01-01,30.3,109.5,"[109, 30]"
10041,Épinal,Valid,H5,277.0,1822-01-01,48.18333,6.46667,"[6, 48]"
10042,Erakot,Valid,CM2,113.0,1940-01-01,19.03333,81.89167,"[81, 19]"
10043,Erevan,Valid,Howardite,107.2,1911-01-01,40.3,44.5,"[44, 40]"
10044,Ergheo,Valid,L5,20000.0,1889-01-01,1.16667,44.16667,"[44, 1]"
10049,Erxleben,Valid,H6,2250.0,1812-01-01,52.21667,11.25,"[11, 52]"
10051,Esnandes,Valid,L6,1500.0,1837-01-01,46.25,-1.1,"[-1, 46]"
10055,Essebi,Valid,C2-ung,500.0,1957-01-01,2.88333,30.83333,"[30, 2]"
10059,Estherville,Valid,Mesosiderite-A3/4,320000.0,1879-01-01,43.41667,-94.83333,"[-94, 43]"
10074,Farmington,Valid,L5,89400.0,1890-01-01,39.75,-97.03333,"[-97, 39]"
10075,Farmville,Valid,H4,56000.0,1934-01-01,35.55,-77.53333,"[-77, 35]"
10078,Favars,Valid,H5,1500.0,1844-01-01,44.38333,2.81667,"[2, 44]"
10079,Fayetteville,Valid,H4,2360.0,1934-01-01,36.05,-94.16667,"[-94, 36]"
10080,Feid Chair,Valid,H4,380.0,1875-01-01,36.88333,8.45,"[8, 36]"
10081,Felix,Valid,CO3.3,3200.0,1900-01-01,32.53333,-87.16667,"[-87, 32]"
10086,Fenghsien-Ku,Valid,H5,82.0,1924-01-01,34.6,116.75,"[116, 34]"
10088,Ferguson,Valid,OC,220.0,1889-01-01,36.1,-81.41667,"[-81, 36]"
